,name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align,gpt_al,gpt_perc
2901,xl2.2_normal_219.jpg,"a brand logo of henry cavill as a catholic nun, HDR lighting, baroque style",HDR lighting,,baroque style,3.91009791,0.60417066,3.10230551,0.930004701,4.0,7.0
1985,sd1.5_lowcorr_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,2.46452189,0.951017549,2.189529698,1.043666853,6.5,7.0
249,AttnGAN_normal_249.jpg,"a female elven warrior wearing platinum breastplate, close-up, hyper detail",close-up,hyper detail,,1.023275848,0.78311138,0.826793192,1.132046526,3.0,4.0
1052,midjourney_lowstep_164.jpg,"a pig sitting in a chair smoking a pipe, close-up",close-up,,,2.414476208,0.435519683,2.868115497,0.591805513,8.0,7.5
2892,xl2.2_normal_210.jpg,"an astronaut meeting an alien lizard humanoid, warm color, anime style",warm color,,anime style,2.476222723,0.426678069,3.430465396,0.573933188,9.0,8.5
2976,xl2.2_normal_294.jpg,"anthropomorphic thresher shark in knight armor dropping his sword, long-shot, soft lighting, baroque style",long-shot,soft lighting,baroque style,2.926215464,0.542030647,2.222925965,0.9030852,6.5,7.5
2359,sd1.5_lowstep_277.jpg,"plasticine sculptures of two lovers walking through paris, top view, long-shot, realistic style",top view,long-shot,realistic style,2.715217134,0.546356392,2.258697793,1.031770828,6.0,7.0
1636,sd1.5_highcorr_154.jpg,"cute fluffy baby poodle giraffe hybrid, close-up",close-up,,,3.673754131,0.563785892,3.562117535,0.772152983,6.5,8.0
841,glide_normal_251.jpg,"a brain with eyeballs peaking out between the folds, long-shot, hyper detail",long-shot,hyper detail,,0.60416837,0.537162432,1.087452894,0.969988713,1.0,2.0
978,midjourney_lowstep_090.jpg,"little girl with a mushroom hat, anime style",,,anime style,2.788955814,0.716836379,3.506852145,0.628736472,9.0,8.5
1978,sd1.5_lowcorr_196.jpg,"the essence of the chemical element hydrogen, blurred detail, sci-fi style",blurred detail,,sci-fi style,1.597692094,0.826004705,2.032736844,1.501786567,4.5,6.5
2300,sd1.5_lowstep_218.jpg,"a masonic illuminati waiting room with a couch, soft lighting, abstract style",soft lighting,,abstract style,3.440900802,0.923801974,3.351474113,0.874788862,8.0,7.5
1867,sd1.5_lowcorr_085.jpg,"grumpy minions sitting in a bar, anime style",,,anime style,2.912021026,0.329460818,2.589300817,0.847445473,8.5,7.5
1519,sd1.5_highcorr_037.jpg,demon queen with red eyes,,,,0.550374317,0.336533677,0.970486009,0.528936184,6.5,5.0
724,glide_normal_134.jpg,"a biomechanical orchid heart fusion, close-up",close-up,,,1.478164096,0.536704269,1.996495394,0.771233708,8.0,7.5
283,AttnGAN_normal_283.jpg,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style",elevation view,hyper detail,abstract style,0.850777428,0.688058427,0.957159937,0.95038095,2.0,4.0
224,AttnGAN_normal_224.jpg,"lovers being pulled apart across space and time, warm color, close-up",warm color,close-up,,0.633569007,0.324871463,0.778970376,0.585130533,3.5,4.0
870,glide_normal_280.jpg,"rats in tuxedos drinking champagne in bubbles in the space, top view, blurred detail, anime style",top view,blurred detail,anime style,0.902526954,0.699155911,0.791238626,0.722265069,3.0,4.0
1420,midjourney_normal_237.jpg,"portrait of terrified green ball gown young woman, top view, long-shot",top view,long-shot,,3.60083465,0.295704488,3.296107282,0.642840814,8.0,9.0
989,midjourney_lowstep_101.jpg,"a man playing an invisible cello, sci-fi style",,,sci-fi style,3.143483028,0.82549973,2.768398323,0.798830013,9.0,8.5
1329,midjourney_normal_145.jpg,"kraken is using large sponge for bath, long-shot",long-shot,,,3.685179175,0.880950653,2.714701964,0.501910459,9.0,8.5
1521,sd1.5_highcorr_039.jpg,beautiful topaz girl dark,,,,2.701159713,0.570850777,0.78808434,0.776253277,3.0,7.0
409,DALLE2_normal_115.jpg,"ocean of canvas that catches fire, anime style",,,anime style,1.696019687,0.788312703,2.094906068,0.904052991,4.0,6.0
767,glide_normal_177.jpg,"a huge wooden carving sculpture of a fox, hyper detail",hyper detail,,,0.128895573,0.376052061,0.341602936,0.402970126,1.0,2.0
2268,sd1.5_lowstep_186.jpg,"a portrait of girl alchemist in blue dress, blurred detail, sci-fi style",blurred detail,,sci-fi style,2.938008313,0.527845749,2.865255012,0.806531537,8.5,9.0
964,midjourney_lowstep_075.jpg,"concept art of octopus attack, anime style",,,anime style,2.429568642,0.426363224,3.357572354,0.620502712,7.0,8.0
2438,sd1.5_normal_056.jpg,survival in a winter forest,,,,3.361858495,0.581168107,3.387308117,0.765519336,9.0,8.5
