,name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align,gemma_al,gemma_perc
414,DALLE2_normal_120.jpg,"die cut sticker of a pair of lips , warm color",warm color,,,2.261262436,1.068172636,3.348349994,0.649337936,4.0,4.5
194,AttnGAN_normal_194.jpg,"a cyborg jellyfish swimming in a vast ocean, close-up, baroque style",close-up,,baroque style,0.775293051,0.342112504,0.86788507,0.328406516,3.0,3.5
718,glide_normal_128.jpg,"portrait of a tang dynasty empress , soft lighting",soft lighting,,,1.492221516,0.453091139,0.571482359,0.427726929,3.0,4.0
1665,sd1.5_highcorr_183.jpg,"radioactive alien mushrooms in the forest , elevation view, abstract style",elevation view,,abstract style,2.746509754,0.767713103,2.330906752,0.739087182,4.2,4.5
1628,sd1.5_highcorr_146.jpg,"cute fluffy lion cheetah hybrid mixed, blurred detail",blurred detail,,,2.717645898,0.602335551,3.202040316,0.693034816,4.2,4.8
1894,sd1.5_lowcorr_112.jpg,"gorgeous young scandanavian woman, realistic style",,,realistic style,3.714251203,0.556010456,3.5526433,0.920783175,4.2,4.8
2515,sd1.5_normal_133.jpg,"a blue abyss underwater concept art, elevation view",elevation view,,,3.045671512,0.950457984,3.226425262,0.85415302,4.2,4.5
51,AttnGAN_normal_051.jpg,hanging gardens of babylon,,,,1.062470367,0.623660348,0.981735619,0.76164381,3.0,3.5
1001,midjourney_lowstep_113.jpg,"epic colourful scene from a dream, abstract style",,,abstract style,0.977683949,0.756180393,2.568031711,1.127569438,3.5,4.0
2673,sd1.5_normal_291.jpg,"oil painting portrait of anthropomorphic female green fox animal, long-shot, hyper detail, sci-fi style",long-shot,hyper detail,sci-fi style,2.957803829,0.462964858,3.011371163,0.767728922,4.0,4.5
368,DALLE2_normal_073.jpg,"otter making a disgusted face, abstract style",,,abstract style,2.899057018,0.614928119,3.124625168,0.770011767,3.5,4.0
2940,xl2.2_normal_258.jpg,"black broken armor and helmet laying in wild flowers, hyper detail, soft lighting",hyper detail,soft lighting,,3.432145599,0.460190096,3.444308638,0.413873754,4.0,4.5
1611,sd1.5_highcorr_129.jpg,"portrait of a beautiful young woman, HDR lighting",HDR lighting,,,0.76123563,0.2612992,2.110496437,1.178379625,3.0,3.5
2828,xl2.2_normal_146.jpg,"cute fluffy lion cheetah hybrid mixed, blurred detail",blurred detail,,,3.474317862,0.605192015,3.455708742,0.705387401,4.5,4.8
564,DALLE2_normal_274.jpg,"angled photograph of an abandoned train cart during dusk, cold color, soft lighting, baroque style",cold color,soft lighting,baroque style,3.419625599,0.694951665,2.951467196,1.073482605,3.5,4.0
1419,midjourney_normal_236.jpg,"short - haired short butch tomboy blonde engineer, top view, close-up",top view,close-up,,4.044010336,0.248717122,3.445889779,0.602957653,4.2,4.8
1502,sd1.5_highcorr_020.jpg,a overgrown old house,,,,3.630412823,0.282465315,3.787279028,0.508739763,4.0,4.5
2402,sd1.5_normal_020.jpg,a overgrown old house,,,,3.094767498,0.803607204,3.729311245,0.572014222,4.0,4.5
1660,sd1.5_highcorr_178.jpg,"a car crawling with human hands and feet, soft lighting",soft lighting,,,2.788955814,0.773983212,2.251027408,1.087482857,3.5,4.0
1770,sd1.5_highcorr_288.jpg,"a beautiful painting of old golden samovars of russian empire, close-up, blurred detail, abstract style",close-up,blurred detail,abstract style,1.750409116,0.348306235,2.474162417,1.02075112,3.5,4.0
2291,sd1.5_lowstep_209.jpg,"an uprising of disneyland costumed characters, HDR lighting, baroque style",HDR lighting,,baroque style,2.689121932,0.43869553,2.945998379,0.319807616,4.2,4.8
463,DALLE2_normal_171.jpg,"grumpy disney princess sitting in a cave, cold color",cold color,,,1.956116406,0.428474341,2.771702485,1.037614916,3.5,4.0
1477,midjourney_normal_295.jpg,"depressed people standing around an hourglass with little sand left, long-shot, HDR lighting, anime style",long-shot,HDR lighting,anime style,3.440761714,0.681985631,2.665169971,0.628040226,3.5,4.5
1783,sd1.5_lowcorr_001.jpg,a tray of sushi,,,,3.407636041,0.599272665,3.772760957,0.536885198,4.5,4.2
2655,sd1.5_normal_273.jpg,"exploring an epic organic and colourful underground city, warm color, HDR lighting, abstract style",warm color,HDR lighting,abstract style,3.202553327,0.811436076,3.37273494,0.612155107,4.5,4.5
2420,sd1.5_normal_038.jpg,christmas at kelly family,,,,2.523592728,0.729275144,3.696383698,0.499744673,4.0,4.5
1717,sd1.5_highcorr_235.jpg,"steampunk squid inside a glass jar buried in sand, cold color, HDR lighting",cold color,HDR lighting,,1.747769213,0.742405823,2.106757591,0.897545617,3.5,4.0
1765,sd1.5_highcorr_283.jpg,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style",elevation view,hyper detail,abstract style,3.541752783,0.388083258,2.557115434,1.011975105,4.2,4.8
605,glide_normal_015.jpg,santa claus on drugs,,,,0.563430702,0.546433261,0.60877307,0.535029947,3.0,3.5
2032,sd1.5_lowcorr_250.jpg,"a dramatic photo of a mountain made of layered cake, long-shot, blurred detail",long-shot,blurred detail,,3.632335048,0.447816816,2.16726552,1.181159646,3.5,4.0
2602,sd1.5_normal_220.jpg,"sparkling heart blue mana tree inside a marble, warm color, top view",warm color,top view,,2.363781612,1.086270767,2.395499044,0.771380807,4.5,4.3
2829,xl2.2_normal_147.jpg,"bill gates and jason statham fight m , hyper detail",hyper detail,,,4.205990313,0.865700504,2.087613583,0.924420663,3.5,3.8
321,DALLE2_normal_022.jpg,panda chef in a kitchen,,,,2.568394371,0.508204609,4.118503049,0.567993321,4.0,4.5
670,glide_normal_080.jpg,"painted portrait of goblin man, anime style",,,anime style,1.012573225,0.62023562,1.745318022,1.014279127,3.5,4.0
67,AttnGAN_normal_067.jpg,"a woman in newspaper clothes, realistic style",,,realistic style,1.042384048,0.356275928,0.457481316,0.655446631,3.0,4.0
1963,sd1.5_lowcorr_181.jpg,"an underwater photo of coral in the ocean, cold color, sci-fi style",cold color,,sci-fi style,3.094767498,0.729081056,3.045304988,0.857184731,3.5,4.0
1336,midjourney_normal_152.jpg,"grumpy the elder gods sitting in a bar, top view",top view,,,3.357738899,0.805816426,3.430465396,0.72053618,4.2,4.5
196,AttnGAN_normal_196.jpg,"the essence of the chemical element hydrogen, blurred detail, sci-fi style",blurred detail,,sci-fi style,0.8493261,0.49328618,0.629428475,0.446159964,2.0,2.5
1805,sd1.5_lowcorr_023.jpg,king kong on fighting,,,,2.339014038,0.411558082,2.629356055,0.485742541,3.5,4.0
2222,sd1.5_lowstep_140.jpg,"cute great old ones sitting in a bar, warm color",warm color,,,3.507430325,0.526371039,1.679491953,0.718834646,3.5,4.0
408,DALLE2_normal_114.jpg,"donut glazed with white chocolate, baroque style",,,baroque style,2.837204233,0.711862584,2.790068621,0.80525371,3.5,4.0
857,glide_normal_267.jpg,"beautiful viking woman surrounded by treasure and gold, cold color, long-shot, realistic style",cold color,long-shot,realistic style,1.269146708,0.425814488,0.654641315,0.396338658,3.0,4.0
2947,xl2.2_normal_265.jpg,"a blue anatomically correct human brain made of metal, warm color, long-shot, anime style",warm color,long-shot,anime style,2.917313663,0.68501669,2.616801603,0.61912287,4.2,4.5
2726,xl2.2_normal_044.jpg,male warrior silver armor,,,,3.479361124,0.484904087,3.857782273,0.667536859,4.5,4.3
2240,sd1.5_lowstep_158.jpg,"photograph of a stone cairn in scotland, soft lighting",soft lighting,,,3.727389608,0.646926037,3.73689006,0.576633026,4.0,4.5
2638,sd1.5_normal_256.jpg,"full length portrait of a beautiful woman with horns, blurred detail, soft lighting",blurred detail,soft lighting,,1.825871285,0.406784071,2.736797804,1.150747542,4.2,4.5
990,midjourney_lowstep_102.jpg,"a grand stag in a fantasy forest, realistic style",,,realistic style,2.73141732,0.645471592,3.345634382,0.506887645,4.5,4.2
1206,midjourney_normal_020.jpg,a overgrown old house,,,,3.952270172,0.620296158,3.854712392,0.53374121,4.0,4.5
1713,sd1.5_highcorr_231.jpg,"a dramatic photo of a lion made of cotton candy, cold color, hyper detail",cold color,hyper detail,,3.380391978,0.552474867,2.844239553,0.861828786,3.5,4.5
124,AttnGAN_normal_124.jpg,"action shot of woman pole vaulting, close-up",close-up,,,1.23918794,0.312406208,0.46888142,0.61366378,3.5,4.0
1302,midjourney_normal_118.jpg,"foxes judging a cheese competition, abstract style",,,abstract style,3.601888857,0.34027011,3.482467199,0.588218906,4.2,4.5
2510,sd1.5_normal_128.jpg,"portrait of a tang dynasty empress , soft lighting",soft lighting,,,2.520123245,0.218183046,3.405324243,0.567944595,4.2,4.5
2849,xl2.2_normal_167.jpg,"two women working in a recording studio, hyper detail",hyper detail,,,3.578018157,0.48788932,3.647833348,0.385462045,4.2,4.5
1091,midjourney_lowstep_203.jpg,"a beautiful brutalist concrete forest temple, elevation view, abstract style",elevation view,,abstract style,2.493724965,0.38173282,2.144474319,0.776349955,3.5,4.0
1316,midjourney_normal_132.jpg,"a girl with rainbow in white shirt , top view",top view,,,3.896040489,0.581125791,3.900312809,0.505798439,4.2,4.5
544,DALLE2_normal_253.jpg,"a biomechanical cyborg torso abandoned in a factory, close-up, HDR lighting",close-up,HDR lighting,,0.0,0.324752734,0.253699602,0.465981252,2.0,4.0
1657,sd1.5_highcorr_175.jpg,"a portrait of the mri brain damage demon, long-shot",long-shot,,,2.588700346,0.501583506,2.452499565,0.526631859,3.5,4.0
932,midjourney_lowstep_042.jpg,a man jumping off a cliff,,,,2.64254653,0.428792262,1.890135375,1.319796989,4.0,4.5
911,midjourney_lowstep_021.jpg,portrait of mecha robot,,,,1.844192258,0.743062154,2.903856842,0.766218644,3.0,3.5
2584,sd1.5_normal_202.jpg,"a biomechanical blue raspberry made of metal, top view, realistic style",top view,,realistic style,2.334263842,0.799157327,2.189718246,0.976568854,4.2,4.5
2776,xl2.2_normal_094.jpg,"painted portrait of fierce elder, baroque style",,,baroque style,3.923719599,0.455369383,3.345634382,0.635444368,4.5,4.5
2453,sd1.5_normal_071.jpg,"smart sri lanka buddhist monk, sci-fi style",,,sci-fi style,3.386504205,0.489863113,2.841551967,0.57283613,3.5,4.0
1778,sd1.5_highcorr_296.jpg,"bloodborne werewolf howling in yharnam with full moon in background, blurred detail, soft lighting, sci-fi style",blurred detail,soft lighting,sci-fi style,3.061212451,0.892236846,3.013543571,0.468737195,4.2,4.5
2686,xl2.2_normal_004.jpg,red and blue armor,,,,2.85831935,0.923787049,3.358399036,1.172877285,4.0,4.5
2925,xl2.2_normal_243.jpg,"mushrooms and moss on a tree in a fairytale forest, elevation view, hyper detail",elevation view,hyper detail,,3.853868226,0.430409638,3.090905405,0.781611806,4.5,4.7
2749,xl2.2_normal_067.jpg,"a woman in newspaper clothes, realistic style",,,realistic style,3.613766055,0.424919691,3.572230948,0.340805983,4.5,4.8
744,glide_normal_154.jpg,"cute fluffy baby poodle giraffe hybrid, close-up",close-up,,,1.827559877,0.772820102,2.653717779,0.687814816,3.5,4.0
2045,sd1.5_lowcorr_263.jpg,"cute animal character sleeping in the space station, cold color, elevation view, abstract style",cold color,elevation view,abstract style,2.643063777,0.458128347,2.343118719,0.829923704,3.5,4.0
521,DALLE2_normal_229.jpg,"a heavily bloodied horrified pretty young woman, warm color, hyper detail",warm color,hyper detail,,2.476222723,0.421855239,1.94279623,0.648363447,4.2,4.5
1053,midjourney_lowstep_165.jpg,"a female hand holding a red fresh apple, long-shot",long-shot,,,2.65595515,0.349880048,2.653231999,0.70165969,4.5,4.5
1105,midjourney_lowstep_217.jpg,"a portrait photo of a beautiful female android, hyper detail, realistic style",hyper detail,,realistic style,2.851759102,1.022124178,3.268206767,0.42607834,4.0,4.5
2543,sd1.5_normal_161.jpg,"cute fluffy baby lop eared bunny rabbit, cold color",cold color,,,3.136939761,0.420529841,3.239106761,0.636753764,4.5,4.5
2727,xl2.2_normal_045.jpg,superman punches the pope,,,,2.954193289,0.421191192,2.577900713,1.163017846,4.5,4.5
642,glide_normal_052.jpg,concept art of giant ogres,,,,1.177351713,0.539715068,1.446324178,0.886446827,3.5,4.0
